284,30-Jun-80
285,9-Dec-81
286,1-Jan-90
287,11-Aug-91
288,4-Jul-80
289,27-Jun-84
290,23-May-84
291,3-Dec-82
292,3-Jul-85
293,12-Aug-89
294,30-May-85
295,21-Nov-84
296,29-Oct-89
297,28-Oct-85
298,6-Oct-78
299,5-Feb-90
300,25-Aug-84
301,18-Sep-84
302,13-May-90
303,13-Jul-84
304,14-Jan-88
305,14-Oct-88
306,2-Jun-89
307,5-Feb-81
308,14-Sep-90
309,16-Feb-89
310,29-Apr-90
311,23-Nov-90
312,28-Sep-90
313,31-Dec-79
314,20-Apr-91
315,26-May-88
316,6-Feb-71
317,1-Sep-85
318,20-Feb-83
319,28-Oct-88
320,10-Jun-89
321,28-Feb-75
322,6-Jan-93
323,4-Aug-79
324,22-Jul-82
325,24-Feb-91
326,3-May-92
327,14-Dec-88
328,2-Apr-81
329,29-Jun-90
330,30-Apr-84
331,11-Feb-91
332,18-Jun-86
333,19-Jul-86
334,29-Apr-88
335,5-Dec-83
336,10-Apr-90
337,27-Sep-88
338,12-Sep-90
339,6-Dec-91
340,13-Oct-93
341,17-Aug-90
342,28-Aug-90
343,3-Oct-82
344,4-Dec-93
345,18-Jul-93
346,18-Oct-91
347,3-Sep-90
348,15-Jan-83
349,15-Oct-84
350,30-Apr-87
351,11-Nov-94
352,9-Feb-85
353,26-Mar-81
354,18-Apr-92
355,17-Dec-92
356,19-Feb-90
357,2-Nov-81
358,7-Mar-85
359,15-Aug-89
360,8-Mar-86
361,15-May-85
362,20-Dec-83
363,12-Feb-91
364,18-Sep-88
365,17-Nov-89
366,13-Feb-89
367,18-May-93
368,19-May-90
369,18-Dec-88
370,8-Oct-71
371,11-Oct-87
372,13-Dec-90
373,21-Dec-91
374,20-Jan-94
375,6-Dec-93
376,17-Sep-90
377,11-Dec-88
378,30-Jan-90
379,11-Mar-87
380,9-Oct-89
381,9-Sep-93
382,23-Jul-90
383,25-Jan-85
384,23-Nov-94
385,30-Jan-87
386,27-Mar-79
387,8-Jun-90
388,4-Sep-93
389,13-Oct-90
390,20-May-93
391,5-Nov-91
392,8-Nov-87
393,6-Dec-94
394,19-Apr-95
395,2-Mar-88
396,8-Aug-90
397,29-Feb-92
398,16-Jan-94
399,2-Feb-92
400,11-Oct-93
401,18-May-85
402,27-Oct-97
403,11-Jun-86
404,9-Mar-81
405,8-May-93
406,16-Oct-91
407,8-Sep-90
408,18-Jul-88
409,16-Aug-89
410,18-Jul-98
411,11-Mar-87
412,21-Aug-85
413,24-Mar-91
414,10-May-93
415,30-Sep-86
416,18-Jun-87
417,29-Dec-93
418,8-Sep-90
419,9-Nov-94
420,4-Oct-97
421,15-Jun-91
422,13-Apr-94
423,26-Apr-91
424,22-Jan-91
425,22-Jan-90
426,18-Dec-86
427,31-Mar-83
428,9-Oct-83
429,10-Dec-92
430,31-Mar-92
431,27-Dec-93
432,7-Sep-95
433,22-Jul-88
434,4-Oct-88
435,1-Jun-82
436,13-Jun-82
437,3-Oct-81
438,15-Jul-77
439,20-Oct-81
440,27-Feb-79
441,15-Dec-84
442,12-Jun-85
443,10-Jun-81
444,12-Apr-88
445,29-Sep-89
446,17-Apr-87
447,22-May-85
448,27-Oct-88
449,12-Jun-76
450,24-Apr-84
451,15-Mar-83
452,9-Mar-81
453,15-Oct-89
454,29-Mar-90
455,26-Jan-91
456,20-Dec-84
457,4-Nov-85
458,22-Jul-89
459,14-Jun-93
460,6-Sep-95
461,13-Apr-92
462,14-Dec-94
463,18-Feb-90
464,11-Apr-89
465,7-Aug-92
466,27-Sep-74
467,6-Sep-79
468,14-Dec-89
469,22-Dec-86
470,
471,
472,
473,
474,
475,
476,
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,
497,
498,
499,
500,
501,
502,
503,
504,
505,
506,
507,
508,
509,
510,
511,
512,
513,
514,
515,
516,
517,
518,
519,
520,
521,
523,14-Mar-92
524,8-Jul-94
